Name,Type,Capacity,Interface,Read Speed,Write Speed,Price
Samsung 870 EVO 2TB SATA SSD,SATA SSD,2TB,SATA III,560 MB/s,530 MB/s,17500
Crucial MX500 2TB SATA SSD,SATA SSD,2TB,SATA III,560 MB/s,510 MB/s,15500
WD Blue 2TB SATA SSD,SATA SSD,2TB,SATA III,560 MB/s,530 MB/s,15200
Kingston KC600 2TB SATA SSD,SATA SSD,2TB,SATA III,550 MB/s,520 MB/s,14800
Samsung 870 QVO 2TB SATA SSD,SATA SSD,2TB,SATA III,560 MB/s,530 MB/s,13500
Crucial BX500 2TB SATA SSD,SATA SSD,2TB,SATA III,540 MB/s,430 MB/s,12000
Samsung 870 EVO 4TB SATA SSD,SATA SSD,4TB,SATA III,560 MB/s,530 MB/s,33500
Crucial MX500 4TB SATA SSD,SATA SSD,4TB,SATA III,560 MB/s,510 MB/s,30000
WD Blue 4TB SATA SSD,SATA SSD,4TB,SATA III,560 MB/s,530 MB/s,29500
Samsung 870 QVO 4TB SATA SSD,SATA SSD,4TB,SATA III,560 MB/s,530 MB/s,25500
Samsung 870 QVO 8TB SATA SSD,SATA SSD,8TB,SATA III,560 MB/s,530 MB/s,48500
Crucial MX500 8TB SATA SSD,SATA SSD,8TB,SATA III,560 MB/s,510 MB/s,52000
WD Blue 8TB SATA SSD,SATA SSD,8TB,SATA III,560 MB/s,530 MB/s,51000
Samsung 870 QVO 16TB SATA SSD,SATA SSD,16TB,SATA III,560 MB/s,530 MB/s,95000
Kingston NV2 250GB NVMe SSD,NVMe SSD,250GB,PCIe 4.0,3000 MB/s,1300 MB/s,2800
WD Green SN350 240GB NVMe SSD,NVMe SSD,240GB,PCIe 3.0,2400 MB/s,900 MB/s,2600
TeamGroup MP33 256GB NVMe SSD,NVMe SSD,256GB,PCIe 3.0,1700 MB/s,1100 MB/s,2500
Crucial P3 500GB NVMe SSD,NVMe SSD,500GB,PCIe 3.0,3500 MB/s,1900 MB/s,3500
Kingston NV2 500GB NVMe SSD,NVMe SSD,500GB,PCIe 4.0,3500 MB/s,2100 MB/s,3800
WD Blue SN570 500GB NVMe SSD,NVMe SSD,500GB,PCIe 3.0,3500 MB/s,2300 MB/s,4200
Samsung 980 500GB NVMe SSD,NVMe SSD,500GB,PCIe 3.0,3100 MB/s,2600 MB/s,5500
TeamGroup MP33 512GB NVMe SSD,NVMe SSD,512GB,PCIe 3.0,1800 MB/s,1500 MB/s,3300
ADATA XPG Gammix S5 512GB NVMe SSD,NVMe SSD,512GB,PCIe 3.0,2100 MB/s,1500 MB/s,3400
Crucial P3 1TB NVMe SSD,NVMe SSD,1TB,PCIe 3.0,3500 MB/s,3000 MB/s,5500
Kingston NV2 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,3500 MB/s,2100 MB/s,5200
WD Blue SN570 1TB NVMe SSD,NVMe SSD,1TB,PCIe 3.0,3500 MB/s,3000 MB/s,6500
Samsung 980 1TB NVMe SSD,NVMe SSD,1TB,PCIe 3.0,3500 MB/s,3000 MB/s,8500
WD Black SN770 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,5150 MB/s,4900 MB/s,7500
Samsung 980 Pro 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7000 MB/s,5000 MB/s,12500
Crucial T500 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7300 MB/s,6800 MB/s,9500
Samsung 990 Pro 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7450 MB/s,6900 MB/s,14500
WD Black SN850X 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7300 MB/s,6300 MB/s,11500
Seagate FireCuda 530 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7300 MB/s,6000 MB/s,13500
Kingston KC3000 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7000 MB/s,6000 MB/s,10500
TeamGroup T-Force Cardea A440 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7000 MB/s,5000 MB/s,9500
ADATA XPG Gammix S70 Blade 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7400 MB/s,5500 MB/s,10000
Solidigm P41 Plus 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,4125 MB/s,2950 MB/s,6500
Intel 670p 1TB NVMe SSD,NVMe SSD,1TB,PCIe 3.0,3500 MB/s,2500 MB/s,6000
SK hynix Platinum P41 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7000 MB/s,6500 MB/s,12500
Crucial P3 Plus 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,5000 MB/s,3600 MB/s,7000
Kingston NV2 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,3500 MB/s,2800 MB/s,9200
WD Blue SN570 2TB NVMe SSD,NVMe SSD,2TB,PCIe 3.0,3500 MB/s,3000 MB/s,11500
Samsung 980 2TB NVMe SSD,NVMe SSD,2TB,PCIe 3.0,3500 MB/s,3000 MB/s,15500
WD Black SN770 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,5150 MB/s,4900 MB/s,13500
Samsung 980 Pro 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7000 MB/s,5000 MB/s,22500
Crucial T500 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7400 MB/s,7000 MB/s,17500
Samsung 990 Pro 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7450 MB/s,6900 MB/s,26500
WD Black SN850X 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7300 MB/s,6600 MB/s,19500
Seagate FireCuda 530 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7300 MB/s,6900 MB/s,24500
Kingston KC3000 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7000 MB/s,7000 MB/s,18500
TeamGroup T-Force Cardea A440 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7000 MB/s,5500 MB/s,16500
ADATA XPG Gammix S70 Blade 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7400 MB/s,6400 MB/s,17500
Solidigm P41 Plus 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,4125 MB/s,3325 MB/s,11500
Intel 670p 2TB NVMe SSD,NVMe SSD,2TB,PCIe 3.0,3500 MB/s,2700 MB/s,11000
SK hynix Platinum P41 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7000 MB/s,6500 MB/s,22500
Crucial P3 Plus 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,5000 MB/s,4200 MB/s,12500
Samsung 990 Pro 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7450 MB/s,6900 MB/s,48500
WD Black SN850X 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7300 MB/s,6600 MB/s,38500
Seagate FireCuda 530 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7300 MB/s,6900 MB/s,44500
Kingston KC3000 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7000 MB/s,7000 MB/s,39500
TeamGroup T-Force Cardea A440 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7000 MB/s,5500 MB/s,35500
ADATA XPG Gammix S70 Blade 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7400 MB/s,6400 MB/s,36500
Crucial T700 1TB NVMe SSD,NVMe SSD,1TB,PCIe 5.0,11700 MB/s,9500 MB/s,18500
Crucial T700 2TB NVMe SSD,NVMe SSD,2TB,PCIe 5.0,12400 MB/s,11800 MB/s,27500
Crucial T700 4TB NVMe SSD,NVMe SSD,4TB,PCIe 5.0,12400 MB/s,11800 MB/s,49500
Samsung 9100 Pro 1TB NVMe SSD,NVMe SSD,1TB,PCIe 5.0,14800 MB/s,13000 MB/s,22500
Samsung 9100 Pro 2TB NVMe SSD,NVMe SSD,2TB,PCIe 5.0,14800 MB/s,13000 MB/s,35500
Samsung 9100 Pro 4TB NVMe SSD,NVMe SSD,4TB,PCIe 5.0,14800 MB/s,13000 MB/s,59500
WD Black SN810 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7000 MB/s,5300 MB/s,8500
WD Black SN810 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7000 MB/s,5300 MB/s,15500
Seagate FireCuda 540 1TB NVMe SSD,NVMe SSD,1TB,PCIe 5.0,10000 MB/s,9500 MB/s,19500
Seagate FireCuda 540 2TB NVMe SSD,NVMe SSD,2TB,PCIe 5.0,10000 MB/s,9500 MB/s,29500
Kingston FURY Renegade 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7300 MB/s,6000 MB/s,11000
Kingston FURY Renegade 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7300 MB/s,7000 MB/s,19500
Kingston FURY Renegade 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7300 MB/s,7000 MB/s,38500
Corsair MP600 PRO LPX 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7100 MB/s,5800 MB/s,11500
Corsair MP600 PRO LPX 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7100 MB/s,6800 MB/s,18500
Corsair MP600 PRO LPX 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7100 MB/s,6800 MB/s,37500
Gigabyte Aorus Gen4 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,5000 MB/s,4400 MB/s,8500
Gigabyte Aorus Gen4 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,5000 MB/s,4400 MB/s,14500
MSI Spatium M480 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7000 MB/s,5500 MB/s,9500
MSI Spatium M480 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7000 MB/s,6500 MB/s,16500
Sabrent Rocket 4 Plus 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,7100 MB/s,5300 MB/s,10500
Sabrent Rocket 4 Plus 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,7100 MB/s,6600 MB/s,17500
Sabrent Rocket 4 Plus 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,7100 MB/s,6600 MB/s,36500
WD Blue SN5000 1TB NVMe SSD,NVMe SSD,1TB,PCIe 4.0,5000 MB/s,4000 MB/s,7000
WD Blue SN5000 2TB NVMe SSD,NVMe SSD,2TB,PCIe 4.0,5000 MB/s,4000 MB/s,12500
WD Blue SN5000 4TB NVMe SSD,NVMe SSD,4TB,PCIe 4.0,5000 MB/s,4000 MB/s,23500
Seagate Barracuda 500GB HDD,HDD,500GB,SATA III,190 MB/s,180 MB/s,2200
WD Blue 500GB HDD,HDD,500GB,SATA III,170 MB/s,160 MB/s,2100
Toshiba P300 500GB HDD,HDD,500GB,SATA III,190 MB/s,180 MB/s,2150
Seagate Barracuda 1TB HDD,HDD,1TB,SATA III,190 MB/s,180 MB/s,3200
WD Blue 1TB HDD,HDD,1TB,SATA III,170 MB/s,160 MB/s,3100
Toshiba P300 1TB HDD,HDD,1TB,SATA III,190 MB/s,180 MB/s,3150
Seagate Barracuda 2TB HDD,HDD,2TB,SATA III,190 MB/s,180 MB/s,4500
WD Blue 2TB HDD,HDD,2TB,SATA III,180 MB/s,170 MB/s,4400
Toshiba P300 2TB HDD,HDD,2TB,SATA III,190 MB/s,180 MB/s,4450
Seagate Barracuda 3TB HDD,HDD,3TB,SATA III,190 MB/s,180 MB/s,6500
WD Blue 3TB HDD,HDD,3TB,SATA III,180 MB/s,170 MB/s,6400
Toshiba P300 3TB HDD,HDD,3TB,SATA III,190 MB/s,180 MB/s,6450
Seagate Barracuda 4TB HDD,HDD,4TB,SATA III,190 MB/s,180 MB/s,8200
WD Blue 4TB HDD,HDD,4TB,SATA III,180 MB/s,170 MB/s,8100
Toshiba X300 4TB HDD,HDD,4TB,SATA III,200 MB/s,190 MB/s,8800
Seagate IronWolf 4TB NAS HDD,NAS HDD,4TB,SATA III,180 MB/s,170 MB/s,9500
WD Red Plus 4TB NAS HDD,NAS HDD,4TB,SATA III,180 MB/s,170 MB/s,9600
Seagate BarraCuda 6TB HDD,HDD,6TB,SATA III,210 MB/s,200 MB/s,12500
WD Blue 6TB HDD,HDD,6TB,SATA III,180 MB/s,170 MB/s,12200
Seagate IronWolf 6TB NAS HDD,NAS HDD,6TB,SATA III,180 MB/s,170 MB/s,14500
WD Red Plus 6TB NAS HDD,NAS HDD,6TB,SATA III,180 MB/s,170 MB/s,14800
Seagate BarraCuda 8TB HDD,HDD,8TB,SATA III,220 MB/s,210 MB/s,16500
WD Blue 8TB HDD,HDD,8TB,SATA III,180 MB/s,170 MB/s,16000
Seagate IronWolf 8TB NAS HDD,NAS HDD,8TB,SATA III,180 MB/s,170 MB/s,18500
WD Red Plus 8TB NAS HDD,NAS HDD,8TB,SATA III,180 MB/s,170 MB/s,18800
Seagate Exos X 10TB HDD,Enterprise HDD,10TB,SATA III,250 MB/s,240 MB/s,23500
WD Ultrastar DC HC330 10TB HDD,Enterprise HDD,10TB,SATA III,250 MB/s,240 MB/s,24000
Seagate BarraCuda 10TB HDD,HDD,10TB,SATA III,220 MB/s,210 MB/s,22000
Seagate IronWolf 10TB NAS HDD,NAS HDD,10TB,SATA III,210 MB/s,200 MB/s,25500
WD Red Pro 10TB NAS HDD,NAS HDD,10TB,SATA III,210 MB/s,200 MB/s,25800
Seagate Exos X 12TB HDD,Enterprise HDD,12TB,SATA III,250 MB/s,240 MB/s,26500
WD Ultrastar DC HC330 12TB HDD,Enterprise HDD,12TB,SATA III,250 MB/s,240 MB/s,26800
Seagate IronWolf Pro 12TB NAS HDD,NAS HDD,12TB,SATA III,250 MB/s,240 MB/s,28500
WD Red Pro 12TB NAS HDD,NAS HDD,12TB,SATA III,250 MB/s,240 MB/s,28800
Seagate Exos X 14TB HDD,Enterprise HDD,14TB,SATA III,260 MB/s,250 MB/s,29500
WD Ultrastar DC HC530 14TB HDD,Enterprise HDD,14TB,SATA III,260 MB/s,250 MB/s,30000
Seagate IronWolf Pro 14TB NAS HDD,NAS HDD,14TB,SATA III,260 MB/s,250 MB/s,31500
WD Red Pro 14TB NAS HDD,NAS HDD,14TB,SATA III,260 MB/s,250 MB/s,31800
Seagate Exos X 16TB HDD,Enterprise HDD,16TB,SATA III,260 MB/s,250 MB/s,33500
WD Ultrastar DC HC550 16TB HDD,Enterprise HDD,16TB,SATA III,260 MB/s,250 MB/s,34000
Seagate IronWolf Pro 16TB NAS HDD,NAS HDD,16TB,SATA III,260 MB/s,250 MB/s,35500
WD Red Pro 16TB NAS HDD,NAS HDD,16TB,SATA III,260 MB/s,250 MB/s,35800
Seagate Exos X 18TB HDD,Enterprise HDD,18TB,SATA III,270 MB/s,260 MB/s,38500
WD Ultrastar DC HC550 18TB HDD,Enterprise HDD,18TB,SATA III,270 MB/s,260 MB/s,39000
Seagate IronWolf Pro 18TB NAS HDD,NAS HDD,18TB,SATA III,270 MB/s,260 MB/s,40500
WD Red Pro 18TB NAS HDD,NAS HDD,18TB,SATA III,270 MB/s,260 MB/s,40800
Seagate Exos X 20TB HDD,Enterprise HDD,20TB,SATA III,285 MB/s,275 MB/s,45500
WD Ultrastar DC HC560 20TB HDD,Enterprise HDD,20TB,SATA III,285 MB/s,275 MB/s,46000
Seagate IronWolf Pro 20TB NAS HDD,NAS HDD,20TB,SATA III,285 MB/s,275 MB/s,47500
WD Red Pro 20TB NAS HDD,NAS HDD,20TB,SATA III,285 MB/s,275 MB/s,47800
Seagate Exos X 22TB HDD,Enterprise HDD,22TB,SATA III,285 MB/s,275 MB/s,52500
WD Ultrastar DC HC570 22TB HDD,Enterprise HDD,22TB,SATA III,285 MB/s,275 MB/s,53000
Seagate IronWolf Pro 22TB NAS HDD,NAS HDD,22TB,SATA III,285 MB/s,275 MB/s,54500
WD Red Pro 22TB NAS HDD,NAS HDD,22TB,SATA III,285 MB/s,275 MB/s,54800
Seagate Exos X 24TB HDD,Enterprise HDD,24TB,SATA III,285 MB/s,275 MB/s,59500
WD Ultrastar DC HC580 24TB HDD,Enterprise HDD,24TB,SATA III,285 MB/s,275 MB/s,60000
Seagate Exos X 28TB HDD,Enterprise HDD,28TB,SATA III,290 MB/s,280 MB/s,74500
WD Ultrastar DC HC590 28TB HDD,Enterprise HDD,28TB,SATA III,290 MB/s,280 MB/s,75000
Seagate Exos X 30TB HDD,Enterprise HDD,30TB,SATA III,290 MB/s,280 MB/s,89500
WD Ultrastar DC HC690 30TB HDD,Enterprise HDD,30TB,SATA III,290 MB/s,280 MB/s,90000
Seagate Game Drive 2TB HDD,HDD,2TB,SATA III,140 MB/s,130 MB/s,5500
WD Black 2TB HDD,HDD,2TB,SATA III,200 MB/s,190 MB/s,6500
Seagate FireCuda 2TB SSHD,SSHD,2TB,SATA III,140 MB/s,130 MB/s,6000
Seagate FireCuda 4TB SSHD,SSHD,4TB,SATA III,140 MB/s,130 MB/s,9500
Seagate FireCuda 8TB SSHD,SSHD,8TB,SATA III,140 MB/s,130 MB/s,16500
Sabrent Rocket 4 Plus 8TB NVMe SSD,NVMe SSD,8TB,PCIe 4.0,7100 MB/s,6600 MB/s,79500
Samsung 990 Pro 8TB NVMe SSD,NVMe SSD,8TB,PCIe 4.0,7450 MB/s,6900 MB/s,92500
WD Black SN850X 8TB NVMe SSD,NVMe SSD,8TB,PCIe 4.0,7300 MB/s,6600 MB/s,79500
Seagate FireCuda 530 8TB NVMe SSD,NVMe SSD,8TB,PCIe 4.0,7300 MB/s,6900 MB/s,84500
Kingston KC3000 8TB NVMe SSD,NVMe SSD,8TB,PCIe 4.0,7000 MB/s,7000 MB/s,79500
Crucial T700 8TB NVMe SSD,NVMe SSD,8TB,PCIe 5.0,12400 MB/s,11800 MB/s,115000
Samsung 9100 Pro 8TB NVMe SSD,NVMe SSD,8TB,PCIe 5.0,14800 MB/s,13000 MB/s,125000
Seagate Game Drive 4TB HDD,HDD,4TB,SATA III,140 MB/s,130 MB/s,9500
WD Black 4TB HDD,HDD,4TB,SATA III,200 MB/s,190 MB/s,11500
Seagate FireCuda 4TB HDD,HDD,4TB,SATA III,200 MB/s,190 MB/s,11000
Toshiba X300 6TB HDD,HDD,6TB,SATA III,200 MB/s,190 MB/s,13500
WD Black 6TB HDD,HDD,6TB,SATA III,200 MB/s,190 MB/s,14500
Seagate FireCuda 6TB HDD,HDD,6TB,SATA III,200 MB/s,190 MB/s,14000
Toshiba X300 8TB HDD,HDD,8TB,SATA III,200 MB/s,190 MB/s,17500
WD Black 8TB HDD,HDD,8TB,SATA III,200 MB/s,190 MB/s,18500
Seagate FireCuda 8TB HDD,HDD,8TB,SATA III,200 MB/s,190 MB/s,18000
