Name,Socket/CPU,Form Factor,Memory Type,Memory Slots,Max Memory,Price
ASUS TUF GAMING B650-PLUS,AM5,ATX,DDR5,4,128GB,19500
MSI MAG B650 TOMAHAWK WIFI,AM5,ATX,DDR5,4,128GB,22500
Gigabyte X670 AORUS ELITE AX,AM5,ATX,DDR5,4,128GB,31500
ASUS ROG STRIX X670E-F GAMING,AM5,ATX,DDR5,4,128GB,45500
MSI MPG X670E CARBON WIFI,AM5,ATX,DDR5,4,128GB,48500
ASUS ROG CROSSHAIR X670E HERO,AM5,ATX,DDR5,4,128GB,72500
ASRock B650M Pro RS,AM5,Micro-ATX,DDR5,4,128GB,13500
Gigabyte B650 AORUS ELITE AX,AM5,ATX,DDR5,4,128GB,18500
MSI B650 GAMING PLUS WIFI,AM5,ATX,DDR5,4,128GB,17500
ASRock B650 Steel Legend,AM5,ATX,DDR5,4,128GB,16500
ASUS PRIME B650-PLUS,AM5,ATX,DDR5,4,128GB,15500
Gigabyte B650I AORUS ULTRA,AM5,Mini-ITX,DDR5,2,64GB,18500
ASUS ROG STRIX B650E-I GAMING WIFI,AM5,Mini-ITX,DDR5,2,64GB,24500
MSI MPG B650I EDGE WIFI,AM5,Mini-ITX,DDR5,2,64GB,22500
ASRock B650E Taichi,AM5,ATX,DDR5,4,128GB,39500
Gigabyte X670E AORUS MASTER,AM5,ATX,DDR5,4,128GB,49500
MSI MEG X670E ACE,AM5,ATX,DDR5,4,128GB,62500
ASUS PROART X670E-CREATOR WIFI,AM5,ATX,DDR5,4,128GB,52500
ASRock X670E Steel Legend,AM5,ATX,DDR5,4,128GB,28500
Gigabyte B650M GAMING X AX,AM5,Micro-ATX,DDR5,4,128GB,15500
MSI PRO A620M-E,AM5,Micro-ATX,DDR5,2,64GB,8500
ASUS PRIME A620M-K,AM5,Micro-ATX,DDR5,2,64GB,9500
Gigabyte A620M S2H,AM5,Micro-ATX,DDR5,2,64GB,8200
ASRock A620M Pro RS,AM5,Micro-ATX,DDR5,4,128GB,10500
Biostar A620MP,AM5,Micro-ATX,DDR5,2,64GB,7800
MSI X670E GAMING PLUS WIFI,AM5,ATX,DDR5,4,128GB,24500
ASRock X670E PG Lightning,AM5,ATX,DDR5,4,128GB,23500
Gigabyte TRX50 AORUS MASTER,sTRX50,ATX,DDR5,4,256GB,68500
ASUS TRX50-SAGE WIFI,sTRX50,ATX,DDR5,4,256GB,85500
MSI WS TRX50 PRO,sTRX50,ATX,DDR5,4,256GB,78500
ASRock TRX50 WS,sTRX50,ATX,DDR5,4,256GB,72500
Gigabyte MC13-LE1,SP3,Micro-ATX,DDR4,4,512GB,42500
ASUS KRPA-U16,SP3,Micro-ATX,DDR4,8,1024GB,65500
Supermicro H11SSL-i,SP3,ATX,DDR4,8,1024GB,58500
MSI S805,SP3,ATX,DDR4,8,1024GB,49500
ASRock ROMED8-2T,SP3,ATX,DDR4,8,2048GB,72500
Gigabyte MW51-HP0,LGA2066,ATX,DDR4,8,256GB,42500
ASUS WS X299 SAGE,LGA2066,ATX,DDR4,8,256GB,58500
MSI X299 PRO,LGA2066,ATX,DDR4,8,128GB,32500
EVGA X299 DARK,LGA2066,ATX,DDR4,4,128GB,49500
ASRock X299 Taichi CLX,LGA2066,ATX,DDR4,8,256GB,42500
Gigabyte C246-WU4,LGA1151,ATX,DDR4,4,64GB,25500
ASUS WS C422 PRO/LGA2066,LGA2066,ATX,DDR4,8,128GB,45500
Supermicro X11SPA-T,SP3,ATX,DDR4,8,2048GB,72500
ASRock Rack X470D4U,AM4,ATX,DDR4,4,128GB,18500
Gigabyte MZ31-AR0,SP3,ATX,DDR4,16,2048GB,89500
TYAN S8030,SP3,E-ATX,DDR4,16,4096GB,115000
Intel S2600WFT,LGA3647,ATX,DDR4,24,1536GB,125000
ASUS Z11PA-U12,LGA3647,ATX,DDR4,12,512GB,72500
Supermicro X11DPi-NT,LGA3647,ATX,DDR4,16,2048GB,98500
Gigabyte MD70-HB0,LGA3647,ATX,DDR4,16,2048GB,89500
MSI S2305,LGA3647,ATX,DDR4,12,512GB,65500
ASRock EP2C612D16C-4L,LGA2011-3,ATX,DDR4,16,1024GB,49500
