Name,Type,Size,Speed,Price
G.Skill Trident Z RGB 16GB DDR4 (2x8GB),DDR4,16GB,4000MHz,6500
G.Skill Trident Z Neo 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,6000
G.Skill Trident Z Neo 16GB DDR4 (2x8GB),DDR4,16GB,3800MHz,6300
Kingston FURY Renegade 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5500
Kingston FURY Renegade 16GB DDR4 (2x8GB),DDR4,16GB,4000MHz,6200
Corsair Dominator Platinum 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,6500
Corsair Dominator Platinum 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,7200
Corsair Vengeance LPX 32GB DDR4 (2x16GB),DDR4,32GB,2400MHz,7000
Corsair Vengeance LPX 32GB DDR4 (2x16GB),DDR4,32GB,2666MHz,7300
Corsair Vengeance LPX 32GB DDR4 (2x16GB),DDR4,32GB,3000MHz,7800
Corsair Vengeance LPX 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8200
Corsair Vengeance LPX 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,8500
G.Skill Ripjaws V 32GB DDR4 (2x16GB),DDR4,32GB,2400MHz,7100
G.Skill Ripjaws V 32GB DDR4 (2x16GB),DDR4,32GB,3000GHz,7600
G.Skill Ripjaws V 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8000
G.Skill Ripjaws V 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,8200
G.Skill Ripjaws V 32GB DDR4 (2x16GB),DDR4,32GB,4000MHz,9000
Kingston FURY Beast 32GB DDR4 (2x16GB),DDR4,32GB,2400MHz,7000
Kingston FURY Beast 32GB DDR4 (2x16GB),DDR4,32GB,2666MHz,7300
Kingston FURY Beast 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8000
Kingston FURY Beast 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,8300
Crucial Ballistix 32GB DDR4 (2x16GB),DDR4,32GB,3000MHz,8000
Crucial Ballistix 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8300
Crucial Ballistix 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,8800
TeamGroup T-Force Delta RGB 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8500
TeamGroup T-Force Delta RGB 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,9000
Patriot Viper Steel 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8200
Patriot Viper Steel 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,8700
Patriot Viper Steel 32GB DDR4 (2x16GB),DDR4,32GB,4000MHz,9500
ADATA XPG Spectrix D50 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,8600
ADATA XPG Spectrix D50 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,9200
Corsair Vengeance RGB Pro 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,9500
Corsair Vengeance RGB Pro 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,10200
G.Skill Trident Z RGB 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,9800
G.Skill Trident Z RGB 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,10500
G.Skill Trident Z Neo 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,10800
G.Skill Trident Z Neo 32GB DDR4 (2x16GB),DDR4,32GB,3800MHz,11500
Kingston FURY Renegade 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,9500
Kingston FURY Renegade 32GB DDR4 (2x16GB),DDR4,32GB,4000MHz,10500
Corsair Dominator Platinum 32GB DDR4 (2x16GB),DDR4,32GB,3200MHz,11500
Corsair Dominator Platinum 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,12500
G.Skill Trident Z Royal 32GB DDR4 (2x16GB),DDR4,32GB,3600MHz,13500
Corsair Vengeance LPX 64GB DDR4 (4x16GB),DDR4,64GB,2666MHz,13500
Corsair Vengeance LPX 64GB DDR4 (4x16GB),DDR4,64GB,3200MHz,15000
G.Skill Ripjaws V 64GB DDR4 (4x16GB),DDR4,64GB,2666MHz,14000
G.Skill Ripjaws V 64GB DDR4 (4x16GB),DDR4,64GB,3200MHz,15500
Kingston FURY Beast 64GB DDR4 (4x16GB),DDR4,64GB,3200MHz,15200
Crucial Ballistix 64GB DDR4 (4x16GB),DDR4,64GB,3200MHz,16000
Corsair Vengeance RGB Pro 64GB DDR4 (4x16GB),DDR4,64GB,3200MHz,17500
G.Skill Trident Z Neo 64GB DDR4 (4x16GB),DDR4,64GB,3600MHz,19500
Kingston FURY Renegade 64GB DDR4 (4x16GB),DDR4,64GB,3600MHz,18500
Corsair Vengeance LPX 128GB DDR4 (4x32GB),DDR4,128GB,2666MHz,28000
G.Skill Ripjaws V 128GB DDR4 (4x32GB),DDR4,128GB,2666MHz,29000
Kingston FURY Beast 128GB DDR4 (4x32GB),DDR4,128GB,2666MHz,28500
Corsair Vengeance LPX 256GB DDR4 (8x32GB),DDR4,256GB,2133MHz,55000
Kingston KSM 8GB DDR4 ECC,DDR4 ECC,8GB,2666MHz,3200
Samsung M391A 8GB DDR4 ECC,DDR4 ECC,8GB,2666MHz,3300
Micron 8GB DDR4 ECC,DDR4 ECC,8GB,2666MHz,3100
Kingston KSM 16GB DDR4 ECC,DDR4 ECC,16GB,2666MHz,5500
Samsung M391A 16GB DDR4 ECC,DDR4 ECC,16GB,2666MHz,5700
Micron 16GB DDR4 ECC,DDR4 ECC,16GB,2666MHz,5400
Kingston KSM 32GB DDR4 ECC,DDR4 ECC,32GB,2666MHz,10500
Samsung M391A 32GB DDR4 ECC,DDR4 ECC,32GB,2666MHz,10800
Micron 32GB DDR4 ECC,DDR4 ECC,32GB,2666MHz,10200
Kingston KSM 64GB DDR4 ECC,DDR4 ECC,64GB,2666MHz,20000
Samsung M391A 64GB DDR4 ECC,DDR4 ECC,64GB,2666MHz,21000
Corsair Vengeance 16GB DDR5 (2x8GB),DDR5,16GB,4800MHz,6000
Corsair Vengeance 16GB DDR5 (2x8GB),DDR5,16GB,5200MHz,6500
Corsair Vengeance 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,7000
Corsair Vengeance 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,7500
Kingston FURY Beast 16GB DDR5 (2x8GB),DDR5,16GB,4800MHz,5800
Kingston FURY Beast 16GB DDR5 (2x8GB),DDR5,16GB,5200MHz,6200
Kingston FURY Beast 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,6800
Kingston FURY Beast 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,7300
G.Skill Flare X5 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,7200
G.Skill Flare X5 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,7800
G.Skill Trident Z5 RGB 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,8000
G.Skill Trident Z5 RGB 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,8500
G.Skill Trident Z5 RGB 16GB DDR5 (2x8GB),DDR5,16GB,6400MHz,9500
Crucial 16GB DDR5 (2x8GB),DDR5,16GB,4800MHz,5800
Crucial 16GB DDR5 (2x8GB),DDR5,16GB,5200MHz,6300
TeamGroup T-Force Delta RGB 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,7500
TeamGroup T-Force Delta RGB 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,8200
ADATA XPG Lancer 16GB DDR5 (2x8GB),DDR5,16GB,5200MHz,6500
ADATA XPG Lancer 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,7800
Patriot Viper Venom 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,7200
Patriot Viper Venom 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,8000
Corsair Vengeance RGB 16GB DDR5 (2x8GB),DDR5,16GB,5600MHz,8200
Corsair Vengeance RGB 16GB DDR5 (2x8GB),DDR5,16GB,6000MHz,8800
Corsair Vengeance 32GB DDR5 (2x16GB),DDR5,32GB,4800MHz,9500
Corsair Vengeance 32GB DDR5 (2x16GB),DDR5,32GB,5200MHz,10500
Corsair Vengeance 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,11200
Corsair Vengeance 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,12000
Corsair Vengeance RGB 32GB DDR5 (2x16GB),DDR5,32GB,5200MHz,11500
Corsair Vengeance RGB 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,12500
Corsair Vengeance RGB 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13500
Kingston FURY Beast 32GB DDR5 (2x16GB),DDR5,32GB,4800MHz,9800
Kingston FURY Beast 32GB DDR5 (2x16GB),DDR5,32GB,5200MHz,10800
Kingston FURY Beast 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,11500
Kingston FURY Beast 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,12500
Kingston FURY Renegade 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13500
Kingston FURY Renegade 32GB DDR5 (2x16GB),DDR5,32GB,6400MHz,15500
G.Skill Flare X5 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,12500
G.Skill Flare X5 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13500
G.Skill Trident Z5 RGB 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,13000
G.Skill Trident Z5 RGB 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13500
G.Skill Trident Z5 RGB 32GB DDR5 (2x16GB),DDR5,32GB,6400MHz,15500
G.Skill Trident Z5 RGB 32GB DDR5 (2x16GB),DDR5,32GB,6800MHz,17500
G.Skill Trident Z5 Neo RGB 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,14000
G.Skill Trident Z5 Neo RGB 32GB DDR5 (2x16GB),DDR5,32GB,6400MHz,16000
Crucial 32GB DDR5 (2x16GB),DDR5,32GB,4800MHz,9500
Crucial 32GB DDR5 (2x16GB),DDR5,32GB,5200MHz,10500
Crucial 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,11500
TeamGroup T-Force Delta RGB 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,12500
TeamGroup T-Force Delta RGB 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13500
TeamGroup T-Force Delta RGB 32GB DDR5 (2x16GB),DDR5,32GB,6400MHz,15500
ADATA XPG Lancer 32GB DDR5 (2x16GB),DDR5,32GB,5200MHz,10800
ADATA XPG Lancer 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,11800
ADATA XPG Lancer 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13000
Patriot Viper Venom 32GB DDR5 (2x16GB),DDR5,32GB,5600MHz,12200
Patriot Viper Venom 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,13200
Patriot Viper Venom 32GB DDR5 (2x16GB),DDR5,32GB,6400MHz,15000
Corsair Dominator Titanium 32GB DDR5 (2x16GB),DDR5,32GB,6000MHz,15500
Corsair Dominator Titanium 32GB DDR5 (2x16GB),DDR5,32GB,6400MHz,16500
Corsair Dominator Titanium 32GB DDR5 (2x16GB),DDR5,32GB,6600MHz,17500
Corsair Dominator Titanium 32GB DDR5 (2x16GB),DDR5,32GB,7200MHz,19500
Corsair Vengeance 64GB DDR5 (2x32GB),DDR5,64GB,4800MHz,18500
Corsair Vengeance 64GB DDR5 (2x32GB),DDR5,64GB,5200MHz,19500
Corsair Vengeance 64GB DDR5 (2x32GB),DDR5,64GB,5600MHz,21500
Corsair Vengeance 64GB DDR5 (2x32GB),DDR5,64GB,6000MHz,23500
Corsair Vengeance RGB 64GB DDR5 (2x32GB),DDR5,64GB,5600MHz,23500
Corsair Vengeance RGB 64GB DDR5 (2x32GB),DDR5,64GB,6000MHz,25500
G.Skill Trident Z5 RGB 64GB DDR5 (2x32GB),DDR5,64GB,5600MHz,23500
G.Skill Trident Z5 RGB 64GB DDR5 (2x32GB),DDR5,64GB,6000MHz,24500
G.Skill Trident Z5 RGB 64GB DDR5 (2x32GB),DDR5,64GB,6400MHz,27500
Kingston FURY Beast 64GB DDR5 (2x32GB),DDR5,64GB,4800MHz,18500
Kingston FURY Beast 64GB DDR5 (2x32GB),DDR5,64GB,5200MHz,19500
Kingston FURY Beast 64GB DDR5 (2x32GB),DDR5,64GB,5600MHz,21500
Kingston FURY Beast 64GB DDR5 (2x32GB),DDR5,64GB,6000MHz,23500
Crucial 64GB DDR5 (2x32GB),DDR5,64GB,4800MHz,18000
Crucial 64GB DDR5 (2x32GB),DDR5,64GB,5200MHz,19000
TeamGroup T-Force Delta RGB 64GB DDR5 (2x32GB),DDR5,64GB,5600MHz,22500
TeamGroup T-Force Delta RGB 64GB DDR5 (2x32GB),DDR5,64GB,6000MHz,24500
ADATA XPG Lancer 64GB DDR5 (2x32GB),DDR5,64GB,5200MHz,20000
Patriot Viper Venom 64GB DDR5 (2x32GB),DDR5,64GB,5600MHz,22000
Corsair Vengeance 96GB DDR5 (2x48GB),DDR5,96GB,5200MHz,28500
Corsair Vengeance 96GB DDR5 (2x48GB),DDR5,96GB,5600MHz,31500
Corsair Vengeance 96GB DDR5 (2x48GB),DDR5,96GB,6000MHz,34500
G.Skill Trident Z5 RGB 96GB DDR5 (2x48GB),DDR5,96GB,5600MHz,32500
G.Skill Trident Z5 RGB 96GB DDR5 (2x48GB),DDR5,96GB,6000MHz,35500
Kingston FURY Beast 96GB DDR5 (2x48GB),DDR5,96GB,5200MHz,29500
Kingston FURY Beast 96GB DDR5 (2x48GB),DDR5,96GB,5600MHz,32500
Corsair Vengeance 128GB DDR5 (2x64GB),DDR5,128GB,4800MHz,38000
Corsair Vengeance 128GB DDR5 (2x64GB),DDR5,128GB,5200MHz,42000
G.Skill Trident Z5 RGB 128GB DDR5 (2x64GB),DDR5,128GB,4800MHz,40000
G.Skill Trident Z5 RGB 128GB DDR5 (2x64GB),DDR5,128GB,5200MHz,44000
Kingston FURY Beast 128GB DDR5 (2x64GB),DDR5,128GB,4800MHz,39000
Kingston FURY Beast 128GB DDR5 (2x64GB),DDR5,128GB,5200MHz,43000
Corsair Vengeance 192GB DDR5 (4x48GB),DDR5,192GB,5200MHz,60000
G.Skill Trident Z5 RGB 192GB DDR5 (4x48GB),DDR5,192GB,5200MHz,62000
Kingston FURY Beast 192GB DDR5 (4x48GB),DDR5,192GB,5200MHz,61000
Corsair Vengeance 256GB DDR5 (4x64GB),DDR5,256GB,4800MHz,75000
G.Skill Trident Z5 RGB 256GB DDR5 (4x64GB),DDR5,256GB,4800MHz,78000
Kingston FURY Beast 256GB DDR5 (4x64GB),DDR5,256GB,4800MHz,76000
Corsair Vengeance 512GB DDR5 (8x64GB),DDR5,512GB,4000MHz,145000
Kingston KSM 16GB DDR5 ECC,DDR5 ECC,16GB,4800MHz,8500
Samsung M321R 16GB DDR5 ECC,DDR5 ECC,16GB,4800MHz,8800
Micron 16GB DDR5 ECC,DDR5 ECC,16GB,4800MHz,8300
Kingston KSM 32GB DDR5 ECC,DDR5 ECC,32GB,4800MHz,15500
Samsung M321R 32GB DDR5 ECC,DDR5 ECC,32GB,4800MHz,16000
Micron 32GB DDR5 ECC,DDR5 ECC,32GB,4800MHz,15000
Kingston KSM 64GB DDR5 ECC,DDR5 ECC,64GB,4800MHz,29000
Samsung M321R 64GB DDR5 ECC,DDR5 ECC,64GB,4800MHz,30000
Micron 64GB DDR5 ECC,DDR5 ECC,64GB,4800MHz,28500
Kingston KSM 128GB DDR5 ECC,DDR5 ECC,128GB,4800MHz,55000
Samsung M321R 128GB DDR5 ECC,DDR5 ECC,128GB,4800MHz,57000
Corsair SODIMM 8GB DDR4 (Laptop),DDR4 SODIMM,8GB,2666MHz,2200
Kingston SODIMM 8GB DDR4 (Laptop),DDR4 SODIMM,8GB,2666MHz,2100
Crucial SODIMM 8GB DDR4 (Laptop),DDR4 SODIMM,8GB,2666MHz,2000
Samsung SODIMM 8GB DDR4 (Laptop),DDR4 SODIMM,8GB,2666MHz,2150
Corsair SODIMM 16GB DDR4 (Laptop),DDR4 SODIMM,16GB,2666MHz,4000
Kingston SODIMM 16GB DDR4 (Laptop),DDR4 SODIMM,16GB,2666MHz,3900
Crucial SODIMM 16GB DDR4 (Laptop),DDR4 SODIMM,16GB,2666MHz,3800
Samsung SODIMM 16GB DDR4 (Laptop),DDR4 SODIMM,16GB,2666MHz,3950
G.Skill SODIMM 16GB DDR4 (Laptop),DDR4 SODIMM,16GB,3200MHz,4500
Corsair SODIMM 32GB DDR4 (Laptop),DDR4 SODIMM,32GB,2666MHz,7500
Kingston SODIMM 32GB DDR4 (Laptop),DDR4 SODIMM,32GB,2666MHz,7400
Crucial SODIMM 32GB DDR4 (Laptop),DDR4 SODIMM,32GB,2666MHz,7200
Samsung SODIMM 32GB DDR4 (Laptop),DDR4 SODIMM,32GB,2666MHz,7300
Corsair SODIMM 64GB DDR4 (Laptop),DDR4 SODIMM,64GB,2666MHz,14000
Kingston SODIMM 64GB DDR4 (Laptop),DDR4 SODIMM,64GB,2666MHz,13800
Crucial SODIMM 8GB DDR5 (Laptop),DDR5 SODIMM,8GB,4800MHz,3200
Kingston SODIMM 8GB DDR5 (Laptop),DDR5 SODIMM,8GB,4800MHz,3100
Samsung SODIMM 8GB DDR5 (Laptop),DDR5 SODIMM,8GB,4800MHz,3150
Corsair SODIMM 16GB DDR5 (Laptop),DDR5 SODIMM,16GB,4800MHz,5800
Kingston SODIMM 16GB DDR5 (Laptop),DDR5 SODIMM,16GB,4800MHz,5700
Crucial SODIMM 16GB DDR5 (Laptop),DDR5 SODIMM,16GB,4800MHz,5500
Samsung SODIMM 16GB DDR5 (Laptop),DDR5 SODIMM,16GB,4800MHz,5650
G.Skill SODIMM 16GB DDR5 (Laptop),DDR5 SODIMM,16GB,5600MHz,6500
Corsair SODIMM 32GB DDR5 (Laptop),DDR5 SODIMM,32GB,4800MHz,10500
Kingston SODIMM 32GB DDR5 (Laptop),DDR5 SODIMM,32GB,4800MHz,10300
Crucial SODIMM 32GB DDR5 (Laptop),DDR5 SODIMM,32GB,4800MHz,10000
Samsung SODIMM 32GB DDR5 (Laptop),DDR5 SODIMM,32GB,4800MHz,10200
Corsair SODIMM 64GB DDR5 (Laptop),DDR5 SODIMM,64GB,4800MHz,19500
Kingston SODIMM 64GB DDR5 (Laptop),DDR5 SODIMM,64GB,4800MHz,19000
Crucial SODIMM 64GB DDR5 (Laptop),DDR5 SODIMM,64GB,4800MHz,18500
Corsair Vengeance 4GB DDR2,DDR2,4GB,800MHz,3500
Kingston KVR 4GB DDR2,DDR2,4GB,800MHz,3300
Corsair Vengeance 8GB DDR2,DDR2,8GB,800MHz,6500
Kingston KVR 8GB DDR2,DDR2,8GB,800MHz,6200
